id,timestamp,window_start,client_ip,server_ip,direction,protocol,service,src_port,dst_port,size,flags
182,1759201266.0866,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
183,1759201266.0866,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
184,1759201266.15376,2025-09-30T03:01:03Z,192.168.0.1,192.168.0.4,IN,UDP,,45320,64102,470,
185,1759201266.16349,2025-09-30T03:01:03Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
186,1759201266.16772,2025-09-30T03:01:03Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
187,1759201266.28373,2025-09-30T03:01:03Z,239.255.255.250,192.168.0.4,OUT,UDP,,64102,1900,174,
188,1759201266.28373,2025-09-30T03:01:03Z,192.168.0.1,192.168.0.4,IN,UDP,,38596,64102,470,
189,1759201266.32364,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,62,
190,1759201266.34772,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,62,
191,1759201266.36372,2025-09-30T03:01:03Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
192,1759201266.36372,2025-09-30T03:01:03Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
193,1759201266.37368,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,943,
194,1759201266.37368,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
195,1759201266.55385,2025-09-30T03:01:03Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
196,1759201266.55385,2025-09-30T03:01:03Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
197,1759201266.75771,2025-09-30T03:01:03Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
198,1759201266.75771,2025-09-30T03:01:03Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
199,1759201266.96373,2025-09-30T03:01:03Z,189.203.85.115,192.168.0.4,IN,UDP,,23330,31689,590,
200,1759201266.96373,2025-09-30T03:01:03Z,189.203.85.115,192.168.0.4,OUT,UDP,,31689,23330,92,
201,1759201267.14377,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
202,1759201267.14377,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
203,1759201267.14377,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
204,1759201267.14377,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
205,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,IN,UDP,,27842,31689,1480,
206,1759201267.14821,2025-09-30T03:01:03Z,176.229.6.55,192.168.0.4,OUT,UDP,,31689,27842,62,
